ID_Sujeto,Origen_Form,Identidad,Bloque,Dilema,Categoria,Respuesta,Mantiene,SDO_Score,NDC_Score,expectativa_sin,expectativa_grande,expectativa_pequeña,Genero,politica,nivel_se,Gap_Size,expectativa_sin_num,expectativa_grande_num,expectativa_pequeña_num,Expectativa_Activa,Promedio_Gap_0,Promedio_Gap_1000,Promedio_Gap_1200,Promedio_Gap_2000,Promedio_Gap_2400,Promedio_CON,Promedio_SIN,Promedio_DIST,Delta_Mantiene,Delta_base
Suj_001,Respuestas de formulario 1,AEF,Bloque_5,Bloque_CON,2,Opción 2,0,3.3,2.833333333333333,0,-1,-1,Hombre,3,4,2000,0,-1,-1,-1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.1666666666666666,0.6666666666666666,0.6666666666666666,-0.5,0.0
Suj_001,Respuestas de formulario 1,AJK,Bloque_7,Bloque_CON,3,Opción 2,0,3.3,2.833333333333333,0,-1,-1,Hombre,3,4,2400,0,-1,-1,-1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.1666666666666666,0.6666666666666666,0.6666666666666666,-0.5,0.0
Suj_001,Respuestas de formulario 1,ALM,Bloque_9,Bloque_CON,5,Opción 1,1,3.3,2.833333333333333,0,-1,-1,Hombre,3,4,1000,0,-1,-1,-1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.1666666666666666,0.6666666666666666,0.6666666666666666,-0.5,0.0
Suj_001,Respuestas de formulario 1,AQS,Bloque_11,Bloque_CON,6,Opción 2,0,3.3,2.833333333333333,0,-1,-1,Hombre,3,4,1200,0,-1,-1,-1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.1666666666666666,0.6666666666666666,0.6666666666666666,-0.5,0.0
Suj_001,Respuestas de formulario 1,AEF,Bloque_5,Dist,2,Opción 2,0,3.3,2.833333333333333,0,-1,-1,Hombre,3,4,2000,0,-1,-1,-1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.1666666666666666,0.6666666666666666,0.6666666666666666,-0.5,0.0
Suj_001,Respuestas de formulario 1,AJK,Bloque_7,Dist,3,Opción 2,0,3.3,2.833333333333333,0,-1,-1,Hombre,3,4,2400,0,-1,-1,-1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.1666666666666666,0.6666666666666666,0.6666666666666666,-0.5,0.0
Suj_001,Respuestas de formulario 1,ALM,Bloque_9,Dist,5,Opción 1,1,3.3,2.833333333333333,0,-1,-1,Hombre,3,4,1000,0,-1,-1,-1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.1666666666666666,0.6666666666666666,0.6666666666666666,-0.5,0.0
Suj_001,Respuestas de formulario 1,AQS,Bloque_11,Dist,6,Opción 1,1,3.3,2.833333333333333,0,-1,-1,Hombre,3,4,1200,0,-1,-1,-1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.1666666666666666,0.6666666666666666,0.6666666666666666,-0.5,0.0
Suj_001,Respuestas de formulario 1,AEF,Bloque_5,Bloque_SIN,2,Opción 1,1,3.3,2.833333333333333,0,-1,-1,Hombre,3,4,2000,0,-1,-1,-1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.1666666666666666,0.6666666666666666,0.6666666666666666,-0.5,0.0
Suj_001,Respuestas de formulario 1,AJK,Bloque_7,Bloque_SIN,3,Opción 2,0,3.3,2.833333333333333,0,-1,-1,Hombre,3,4,2400,0,-1,-1,-1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.1666666666666666,0.6666666666666666,0.6666666666666666,-0.5,0.0
